,ATIVIDADES,DATA
0,2.1 Lançamento do Edital na página eletrônica da FAPEG e no DOE,16/05/2018
1,3.2 Limite para impugnação do edital,23/05/2018
2,2.3 Disponibilização do formulário no sistema OPP FAPEG,05/06/2018
3,2.4 Limite para submissão eletrônica das propostas,25/06/2018
4,2.5 Limite para entrega da proposta impressa no respectivo PPGSS,27/06/2018
5,2.6 Limite para entrega do resultado da seleção por parte dos PPGSS à FAPEG,09/07/2018
6,2.7 Fim da avaliação pelo Comitê de Especialistas junto à FAPEG e divulgação,13/07/2018
7,do resultado preliminar da Chamada,
8,2.8 Fim do prazo para interposição de recurso ao resultado preliminar frente à,20/07/2018
9,FAPEG,
10,2.9 Publicação do resultado final na página da FAPEG e no DOE,26/07/2018
11,2.10 Início da contratação condicionada à entrega da documentação por parte,31/07/2018
12,do bolsista na FAPEG,
13,2.11 Limite para a contratação,31/08/2018
