,atividade,data
0,3.1 Lançamento do Edital na página eletrônica da FAPEG e no DOE ,16/05/2018 
1,3.2 Limite para impugnação do edital ,23/05/2018 
2,3.3 Disponibilização do formulário no sistema OPP FAPEG ,05/06/2018 
3,3.4 Limite para submissão eletrônica das propostas ,02/07/2018 
4,3.5 Publicação do resultado preliminar de enquadramento ,31/07/2018 
5,3.6 Fim do prazo para interposição de recurso ao resultado preliminar de enquadramento. ,07/08/2018 
6,3.7 Publicação do resultado final de enquadramento ,13/08/2018 
7,3.8 Fim da avaliação pelo Comitê de Especialistas junto à FAPEG e divulgação do ,22/08/2018 
8,resultado preliminar da Chamada 3.9 Fim do prazo para interposição de recurso ao resultado preliminar frente à FAPEG ,29/08/2018 
9,3.10 Publicação do resultado final na página da FAPEG e no DOE ,06/09/2018 
10,3.11 Início da implementação (contratação) dos candidatos aprovados pela FAPEG ,14/09/2018 
11,3.12 Fim do prazo para implementação (contratação) ,15/10/2018 
