,atividade,data
0,2.1 Lançamento do Edital na página eletrônica da FAPEG e no DOE ,16/05/2018 
1,2.2 Limite para impugnação do edital ,23/05/2018 
2,2.3 Disponibilização do formulário no sistema OPP FAPEG ,05/06/2018 
3,2.4 Limite para submissão eletrônica das propostas ,02/07/2018 
4,2.5 Publicação do resultado preliminar de enquadramento ,16/07/2018 
5,2.6 Fim do prazo para interposição de recurso ao resultado preliminar de en- quadramento. ,23/07/2018 
6,2.7 Publicação do resultado final de enquadramento ,25/07/2018 
7,2.8 Fim da avaliação de mérito e publicação do resultado preliminar na página da FAPEG ,06/08/2018 
8,2.9 Limite para apresentação de recurso à FAPEG quanto ao resultado Prelimi- nar ,13/08/2018 
9,2.10 Publicação do Resultado Final na página da FAPEG e no DOE ,17/08/2018 
10,2.11 Início da implementação dos recursos condicionada à apresentação de documentos no sistema OPP FAPEG ,24/08/2018 
11,2.12 Limite para implementação do auxílio ,25/09/2018 
